src,tgt,model,mae,rmse,r2,same_domain,n_train,n_test
23°C,23°C,Ridge,0.007883830076286128,0.01036617711296718,0.8857340538005403,True,35,35
23°C,23°C,RF,0.002302435081881336,0.004991549054661401,0.9735058337162363,True,35,35
23°C,23°C,GBR,9.037457265102285e-05,0.00012529749604071723,0.999983305848329,True,35,35
23°C,35°C,Ridge,0.015221852272363525,0.018156595608987712,-2.055291233323572,False,35,53
23°C,35°C,RF,0.004010027273962214,0.004769679379499255,0.7891555638647529,False,35,53
23°C,35°C,GBR,0.0037783382403936646,0.005229257462744561,0.7465666164315325,False,35,53
23°C,45°C,Ridge,0.01723207568670204,0.02561793603850096,-4.393510735806072,False,35,51
23°C,45°C,RF,0.0054999250280959155,0.007395419890850245,0.5505214743832783,False,35,51
23°C,45°C,GBR,0.006182217855099597,0.009270134903886684,0.2937550066228253,False,35,51
35°C,23°C,Ridge,0.00789831289194049,0.018356790847781575,0.6416783163111001,False,53,35
35°C,23°C,RF,0.010797538057392544,0.023574201331567686,0.4090461761602824,False,53,35
35°C,23°C,GBR,0.011016888561479123,0.023763940602908925,0.3994951946002717,False,53,35
35°C,35°C,Ridge,0.0022790787748137743,0.003407647456700095,0.8923799752027671,True,53,53
35°C,35°C,RF,0.0007969837848945064,0.0012093110955974419,0.986446238248518,True,53,53
35°C,35°C,GBR,0.0001194591754550603,0.0001492274803243461,0.9997936134533656,True,53,53
35°C,45°C,Ridge,0.0038168972623298537,0.004553592035329302,0.8295913989735829,False,53,51
35°C,45°C,RF,0.00481822264566216,0.008190833590470053,0.4486346385387576,False,53,51
35°C,45°C,GBR,0.006240785360928224,0.009394046696072536,0.2747483878727238,False,53,51
45°C,23°C,Ridge,0.008958861687732403,0.01844965118662255,0.6380439083736589,False,51,35
45°C,23°C,RF,0.014525791521617244,0.023027994113457736,0.4361133793190237,False,51,35
45°C,23°C,GBR,0.012901163939497945,0.021726607887207552,0.49804657303655764,False,51,35
45°C,35°C,Ridge,0.0028922495148663695,0.004379786957644869,0.8222171990834425,False,51,53
45°C,35°C,RF,0.006945953881709957,0.007956594209604992,0.4132701401508494,False,51,53
45°C,35°C,GBR,0.005504771857183141,0.0065719846336070396,0.5997080552055186,False,51,53
45°C,45°C,Ridge,0.0015082492480990267,0.0020966979610548145,0.9638710766846963,True,51,51
45°C,45°C,RF,0.0010856916495568132,0.0023458743005942227,0.9547735240723938,True,51,51
45°C,45°C,GBR,0.00010270679065101123,0.00012863996835908245,0.999864001185479,True,51,51
